,GDP BY ACTIVITY - CONSTANT 2016=100 PRICES,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,KSh Million,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,NEW QUARTERLY ESTIMATES - After rebasing ,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022*
,Quarter,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1,Q2,Q3,Q4,Q1
,Agriculture,312740,319490,277360,267871,342859,363316,296407,296749,354088,372240,306915,296954,362562,381192,313600,305430,379249,401405,324363,312960,387290,407986,328915,313347,400377,425080,342599,332528,406483,431899,347086,335966,406302,422846,345059,327609,423098,445341,366861,352484,443440,459892,370177,357099,463601,496572,354080,391968,465677,494225,356169,387264,462297
,Mining & Quarrying,9316,10046,10562,11791,11546,13013,13704,14115,13542,14244,16081,15382,16771,18656,18847,17420,18173,19808,20989,24077,23475,26199,28120,28352,23872,23047,22132,20375,20142,20292,20238,20608,20945,21254,20530,21179,21870,20268,18196,19653,21596,21679,19192,20920,22997,22528,20260,22167,25463,24983,23576,29805,31097
,Manufacturing,126473,127715,134156,149223,133161,131723,142909,159650,143083,142563,151178,174517,143013,142790,156097,171692,149352,153803,165251,175750,155591,158531,165488,176648,166202,169156,177090,182249,172429,174758,177120,183574,178428,175185,174647,184547,187632,180342,179287,191045,192686,188246,184179,192683,195345,178073,180176,201024,199445,198150,198496,210910,206838
,Electricity & water supply,35149,35483,36352,36745,37304,36847,39997,39821,39860,40616,41667,42683,42510,41659,43385,43871,42807,43452,45675,46761,46240,46800,48070,48371,47225,48019,49450,48979,49292,49371,50657,51515,50407,51496,52237,52810,52487,53065,54353,54517,54066,53858,55181,55041,54879,51453,55635,57561,56879,55153,59194,59184,57982
,Construction,50218,49505,50663,52881,55817,58277,59713,61367,62236,63278,64051,67769,70217,72089,74728,78634,75607,77371,78220,80657,83918,87300,84666,85349,87396,93818,93018,93612,92735,96938,98725,100853,101673,101694,104346,106004,108357,108842,112286,109477,114925,116807,121192,117601,125191,123779,133588,135418,133762,132229,142539,143546,142307
,"Wholesale & Retail Trade

",103406,95374,98663,110798,116005,102240,107890,119998,127236,110250,116631,127815,132902,120280,125777,134197,138234,129020,134472,138852,147827,140671,149499,150865,157163,145421,154107,157502,156496,146618,157954,167348,162341,153316,166363,173238,170690,163064,176077,184383,178426,173385,185461,193649,188219,166845,176083,196402,202424,182160,187293,212859,220120
,Accommodation & restaurant,20371,18874,19619,18567,19291,18348,18874,20435,21210,19440,19636,20168,20714,19459,21248,21819,21740,19476,18508,17028,16959,15726,14983,14699,16728,16409,16271,16311,17954,17260,17475,17560,18784,18350,19043,20706,21935,21264,21126,24537,25339,23724,23642,28878,21764,10147,8977,12226,14572,19285,20421,26726,22766
,Transport & Storage,132508,122379,147406,128043,141183,130342,151348,136017,146284,136308,163668,142941,150769,141373,168617,146728,151554,148747,171805,154351,160696,162447,185539,164743,169651,171626,194514,178867,184426,185155,211018,193253,198495,195367,207907,199505,206945,208400,218992,214827,221046,226661,229166,226025,225777,188488,205822,211981,207885,223579,235067,225732,224756
,Information & Communication,21210,22277,24364,24164,24262,25190,27530,28213,28384,29049,32509,32388,30439,31321,35509,33967,38051,36534,39479,38392,41422,39172,43872,44195,44656,42889,50312,49789,48997,46896,54992,55870,53257,50790,59051,60347,57093,54870,63589,65627,62132,58621,67725,69481,66959,61489,71053,74699,73690,71982,73977,78674,78156
,Financial & Insurance,79702,80588,83672,88210,90401,94289,98184,102560,92917,95801,101311,104370,98961,101102,106375,112173,108252,111589,116682,125127,119356,122516,128336,138383,134626,138185,142231,153408,138006,139147,150373,161396,142407,147129,156365,167079,146213,148476,157455,177587,156897,162603,174236,186820,166611,167801,180026,206595,186278,196810,201217,227085,213016
,Public administration,80555,78239,78677,88587,82429,80655,80706,89473,84717,83309,83668,91982,86703,89201,84996,96107,80260,85411,77675,86648,84254,88998,79735,91098,94418,100300,92153,100110,99311,107929,99755,103104,101827,111183,105339,107700,107773,119262,115123,117509,115767,130083,124860,127433,121204,135895,135234,140461,129498,146253,141713,145087,137825
